governor_id,started,cancelled,completed,hit_target,joined,name
178779114,460,69,391,391,19,SmallLCN
147829747,233,12,221,221,196,Scanster
148086205,296,21,275,275,388,Naimaa
140663165,301,49,252,252,110,ᶠʳLouLou
101367009,41,3,34,37,73,SPɅRTAN
182163094,8,1,6,7,45,ᴸᵂ Doctor P
43471838,3,0,0,2,88,WZY F4
167512329,112,1,111,111,281,Naimaa mini
177270007,11,1,10,10,84,ㄴShaknalㄱ
187486894,3,0,2,2,9,Shᶦbaᴺox
178105884,203,31,172,172,38,RomFarm1
68803008,186,15,171,171,137,Simsbadger
187713336,0,0,0,0,1,ZvivyPaulᶦᴺ
56770031,155,15,140,140,211,BêarDöwn
162044765,0,0,0,0,46,Devil Store
135041813,149,21,128,128,293,TRE乂 Bánh
80525087,154,26,128,128,93,ᴿᴱGooSeBump
22535429,29,2,27,27,40,Tati little
187665596,0,0,0,0,6,TSN STITCH
113338372,82,20,62,62,80,ミKUSHbrodaˢᴰ
165047930,0,0,0,0,32,RomsF2
187152965,47,0,47,47,42,Beasty
187152986,45,1,44,44,51,Beautyy
8849165,54,3,51,51,78,Rpgrisen
142139783,56,1,55,55,20,ᶠʳBenfica
78938282,26,3,23,23,44,SuperLiz
129929526,57,6,51,51,8,king乄Hasan
131184443,57,3,54,54,6,۞Sarauw ۞
39090448,26,4,22,22,25,тнє яɪиɢ
77929499,4,0,4,4,4,Exhauśted
138952918,42,2,40,40,24,Belial chan
68810815,0,0,0,0,5,Zvizy F3
83841584,0,0,0,0,7,Zvizy F4
125326841,42,3,39,39,1,sora x roki
66880789,0,0,0,0,1,WZY F1
22506551,0,0,0,0,4,Benficafarm1
180243191,13,0,13,13,16,TheG Fill2
96421094,5,0,5,5,2,Vanillą
